time,wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h)
2023-07-03T00:00,25.4,41.1,252,253,49.0
2023-07-03T01:00,23.3,38.3,257,258,44.6
2023-07-03T02:00,23.9,39.4,247,249,40.7
2023-07-03T03:00,22.4,36.4,242,244,43.6
2023-07-03T04:00,21.6,35.3,255,258,44.3
2023-07-03T05:00,20.3,33.4,245,250,36.7
2023-07-03T06:00,21.7,34.9,251,254,38.2
2023-07-03T07:00,22.7,34.4,259,260,45.4
2023-07-03T08:00,25.4,36.4,258,259,46.1
2023-07-03T09:00,30.4,43.1,264,264,55.8
2023-07-03T10:00,30.8,42.8,259,260,59.0
2023-07-03T11:00,32.5,45.7,257,258,63.0
2023-07-03T12:00,30.6,42.7,258,258,63.4
2023-07-03T13:00,27.1,38.3,253,254,65.5
2023-07-03T14:00,30.6,43.1,249,249,60.5
2023-07-03T15:00,26.9,38.5,250,249,61.2
2023-07-03T16:00,28.6,41.1,253,253,62.6
2023-07-03T17:00,32.4,45.9,249,250,59.8
2023-07-03T18:00,27.9,39.8,248,249,60.8
2023-07-03T19:00,23.7,36.2,248,249,54.0
2023-07-03T20:00,21.3,34.6,236,239,41.4
2023-07-03T21:00,21.2,34.7,228,233,37.8
2023-07-03T22:00,19.7,32.2,230,234,40.0
2023-07-03T23:00,15.1,25.1,232,238,34.2
2023-07-04T00:00,9.5,17.7,209,219,25.6
2023-07-04T01:00,13.0,22.9,242,246,19.8
2023-07-04T02:00,14.6,25.1,220,231,26.3
2023-07-04T03:00,15.8,26.4,227,238,27.4
2023-07-04T04:00,19.7,32.9,246,250,32.8
2023-07-04T05:00,17.3,28.3,249,255,34.6
2023-07-04T06:00,19.7,31.9,239,245,33.5
2023-07-04T07:00,25.0,37.4,242,244,49.3
2023-07-04T08:00,24.6,34.5,243,244,50.0
2023-07-04T09:00,25.0,36.1,245,247,58.0
2023-07-04T10:00,29.5,41.5,242,243,58.7
2023-07-04T11:00,32.5,46.2,245,246,61.2
2023-07-04T12:00,34.8,49.2,250,251,64.4
2023-07-04T13:00,30.9,43.4,249,250,65.9
2023-07-04T14:00,36.1,50.7,250,250,62.6
2023-07-04T15:00,28.8,41.2,242,243,66.6
2023-07-04T16:00,29.1,42.4,255,255,54.4
2023-07-04T17:00,31.3,45.2,261,261,55.8
2023-07-04T18:00,26.7,39.9,260,260,55.8
2023-07-04T19:00,22.6,33.8,262,262,46.8
2023-07-04T20:00,17.8,29.1,256,258,38.9
2023-07-04T21:00,14.8,26.3,247,251,31.0
2023-07-04T22:00,13.4,24.7,243,249,25.2
2023-07-04T23:00,11.2,22.7,237,245,22.7
2023-07-05T00:00,9.2,20.8,228,242,18.7
2023-07-05T01:00,6.9,16.2,208,233,15.8
2023-07-05T02:00,7.2,15.0,177,207,11.5
2023-07-05T03:00,8.2,17.6,157,179,14.0
2023-07-05T04:00,8.2,17.6,131,154,14.8
2023-07-05T05:00,11.2,21.5,123,140,18.7
2023-07-05T06:00,14.2,26.6,114,128,23.4
2023-07-05T07:00,15.4,32.4,101,119,25.9
2023-07-05T08:00,20.1,32.0,99,104,34.6
2023-07-05T09:00,21.5,35.6,99,101,37.8
2023-07-05T10:00,24.7,39.5,98,100,43.9
2023-07-05T11:00,23.6,36.8,109,112,44.6
2023-07-05T12:00,23.5,37.4,126,128,42.1
2023-07-05T13:00,19.5,26.9,142,142,43.6
2023-07-05T14:00,13.5,19.1,132,134,38.9
2023-07-05T15:00,16.3,22.9,115,118,37.1
2023-07-05T16:00,31.0,43.4,141,143,60.1
2023-07-05T17:00,31.3,45.7,125,126,55.1
2023-07-05T18:00,29.6,45.2,139,143,56.2
2023-07-05T19:00,25.7,39.9,202,206,52.6
2023-07-05T20:00,28.6,44.0,255,259,49.3
2023-07-05T21:00,30.0,45.5,265,265,53.3
2023-07-05T22:00,25.6,40.8,259,261,51.5
2023-07-05T23:00,19.8,33.8,245,249,44.6
2023-07-06T00:00,19.2,32.5,240,242,34.2
2023-07-06T01:00,27.0,43.6,268,271,36.4
2023-07-06T02:00,28.9,45.3,274,277,51.8
2023-07-06T03:00,29.5,46.6,272,274,51.8
2023-07-06T04:00,24.6,39.7,264,266,51.5
2023-07-06T05:00,22.2,35.8,262,264,43.2
2023-07-06T06:00,19.8,32.3,258,262,38.9
2023-07-06T07:00,16.9,28.7,259,262,34.6
2023-07-06T08:00,19.9,28.6,264,264,39.6
2023-07-06T09:00,21.1,29.3,256,256,42.8
2023-07-06T10:00,24.4,33.5,257,258,46.4
2023-07-06T11:00,23.7,32.5,256,257,46.8
2023-07-06T12:00,25.0,34.4,263,264,48.2
2023-07-06T13:00,26.7,37.5,268,267,48.2
2023-07-06T14:00,27.4,37.8,268,268,51.5
2023-07-06T15:00,26.3,37.1,268,268,50.8
2023-07-06T16:00,25.9,36.4,269,270,49.0
2023-07-06T17:00,23.4,33.1,268,269,47.2
2023-07-06T18:00,19.9,28.5,265,266,42.5
2023-07-06T19:00,15.5,23.9,257,259,35.6
2023-07-06T20:00,12.8,22.3,254,256,27.4
2023-07-06T21:00,9.4,20.1,238,246,22.0
2023-07-06T22:00,12.2,24.8,223,229,20.5
2023-07-06T23:00,12.2,25.1,225,232,20.5
2023-07-07T00:00,12.0,24.8,226,234,20.2
2023-07-07T01:00,10.7,22.5,222,231,20.2
2023-07-07T02:00,10.5,21.5,221,232,17.6
2023-07-07T03:00,10.5,22.2,218,228,17.6
2023-07-07T04:00,8.7,20.8,225,236,17.6
2023-07-07T05:00,8.3,17.9,214,236,14.4
2023-07-07T06:00,8.4,17.1,190,228,15.1
2023-07-07T07:00,8.0,14.5,207,224,16.2
2023-07-07T08:00,10.7,14.5,220,222,21.6
2023-07-07T09:00,11.1,14.7,234,234,22.3
2023-07-07T10:00,12.6,16.6,246,246,26.6
2023-07-07T11:00,13.1,16.9,254,254,27.4
2023-07-07T12:00,11.2,14.6,255,254,27.4
2023-07-07T13:00,7.7,9.6,259,257,25.2
2023-07-07T14:00,6.8,8.3,267,265,18.0
2023-07-07T15:00,7.2,9.1,264,261,16.9
2023-07-07T16:00,7.2,9.0,270,268,17.6
2023-07-07T17:00,8.0,10.1,278,276,16.9
2023-07-07T18:00,7.2,9.0,270,270,17.3
2023-07-07T19:00,5.1,8.7,262,263,14.0
2023-07-07T20:00,5.0,9.0,270,272,9.4
